nome,serie,azienda,dataUscita,prezzo,cartellaImmagini,descrizione
Mejirushi Accessory Conan Edogawa,Detective Conan,Mejirushi Accessories,2026-03-01,12,MejirushiAccessories_DetectiveConan,Set di mini figure a sorpresa dedicate ai personaggi e oggetti iconici della serie Detective Conan.
Gachapon SpongeBob SquarePants,SpongeBob,Mejirushi Accessories,2022-08-02,8,Gachapon_SpongeBob_SquarePants,Set di mini figure a sorpresa dedicate ai personaggi della famosissima serie televisiva per bambini SpongeBob SquarePants.
Gashapon Kirby TV,Kirby,Bandai,2025-06-08,10.75,Gashapon_Tv_Kirby,"5 differenti piccole televisioni portachiavi raffiguranti diverse illustrazioni del mondo di Kirby, scuotibili"
Gashapon Tom And Jerry,Tom And Jerry,Bandai,2026-03-01,10.75,Gashapon_TomAndJerry,Tom gachapon di Tom and Jerry in versione fast food set con altri 2 Jerry e 2 Tuffy
Mejirushi Accessories Jujutsu Kaisen,Jujutsu Kaisen,Mejirushi Accessories,2026-03-01,12.9,MejirushiAccessories_JujutsuKaisen,"Yuji Itadori portachiavi gachapon in set con Megumi Fushiguro, Yuta Okkotsu, Maki Zen'in, Choso e Naoya Zen'in"
Gashapon Titti,Looney Tunes,Bandai,2025-04-14,12.9,Gashapon_Titti,Titti gachapon travestita da 6 diversi personaggi dei Looney Tunes
Gashapon Eevee Set (Maschio),Pokémon,Bandai,2026-03-01,8,Gashapon_Eevee_Maschio,"Set di eeveelution ed Eevee maschio con Espeon, Leafeon, Umbreon e Glaceon. In versione moschettone e/o ball chain"
Gashapon Eevee Set (Femmina),Pokémon,Bandai,2026-03-01,8,Gashapon_Eevee_Femmina,"Set di eeveelution ed Eevee femmina con a disposizione Sylveon, Vaporeon, Jolteon e Flareon. Sono portachiavi in versione moschettone e/o ball chain"
